지점,지점명,일시,지면온도(°C)
90,속초,2025-04-28 01:00,12.6
90,속초,2025-04-28 02:00,12.8
90,속초,2025-04-28 03:00,11.8
90,속초,2025-04-28 04:00,10
90,속초,2025-04-28 05:00,9.5
90,속초,2025-04-28 06:00,9.7
90,속초,2025-04-28 07:00,12.9
90,속초,2025-04-28 08:00,18.7
90,속초,2025-04-28 09:00,23.9
90,속초,2025-04-28 10:00,26.6
90,속초,2025-04-28 11:00,28.9
90,속초,2025-04-28 12:00,28.5
90,속초,2025-04-28 13:00,32.6
90,속초,2025-04-28 14:00,30.3
90,속초,2025-04-28 15:00,29.2
90,속초,2025-04-28 16:00,24.4
90,속초,2025-04-28 17:00,23.4
90,속초,2025-04-28 18:00,14.1
90,속초,2025-04-28 19:00,12
90,속초,2025-04-28 20:00,10
90,속초,2025-04-28 21:00,8.7
90,속초,2025-04-28 22:00,7.7
90,속초,2025-04-28 23:00,6.6
90,속초,2025-04-29 00:00,5.6
